Key;Type;Desc;English;Vietnamese [vi]
Block/TangaroaPlant;Text;;Tangaroa plant@A decorative plant from Tangaroa.;Cây cảnh Tangaroa@Một cây cảnh trang trí từ Tangaroa.
Block/TemperanceCutlery;Text;;Temperance cutlery@A useful spork and plate.;Dao muỗng nĩa Temperance@Một chiếc muỗng-nĩa và đĩa hữu ích.
Block/TemperanceMug;Text;;Temperance mug@Cute design!;Cốc Temperance@Thiết kế dễ thương!
Block/TemperancePainting;Text;;Temperance painting@Snow, scientists and a purpose!;Tranh Temperance@Tuyết, các nhà khoa học và một mục đích!
Block/TemperancePlant;Text;;Temperance plant@A decorative plant from Temperance.;Cây cảnh Temperance@Một cây cảnh trang trí từ Temperance.
Block/TemperanceRug;Text;;Temperance rug@A simple rug most commonly found in igloos.;Thảm Temperance@Một tấm thảm đơn giản thường thấy trong lều tuyết.
Block/TicTacToe;Text;;Tic-tac-toe@A fun game to play with a friend.;Cờ ca rô@Một trò chơi thú vị để chơi cùng bạn bè.
Block/TikiPoleComplete;Text;;Tiki pole@Tall, colorful and majestic.;Cột Tiki@Cao, sặc sỡ và uy nghi.
Block/TikiPolePiece;Text;;Tiki piece@It seems lonely by itself.;Mảnh Tiki@Trông có vẻ cô đơn một mình.
Block/ToyRobot;Text;;Toy robot@A mechanical little friend.;Robot đồ chơi@Một người bạn cơ khí nhỏ.
Block/ToyRobot_Gold;Text;;Golden toy robot@There is no battery inside, yet its eyes glow...;Robot đồ chơi vàng@Không có pin bên trong, vậy mà mắt nó vẫn phát sáng...
Block/Trashcan;Text;;Trashcan@Throw your trash in here instead of the ocean.;Thùng rác@Vứt rác vào đây thay vì xuống đại dương.
Block/Upgrade_Thatch;Text;;Replace with thatch@;Thay bằng rơm@
Block/Upgrade_Tier3;Text;;Replace with solid wood@;Thay bằng gỗ chắc chắn@
Block/Upgrade_Wood;Text;;Replace with wood@;Thay bằng gỗ@
Block/UtopiaBottle;Text;;Utopia bottles@Decorative bottles from Utopia.;Chai Utopia@Chai trang trí từ Utopia.
Block/UtopiaDecoration;Text;;Utopia decoration@Hand carved and crafted by people on Utopia.;Đồ trang trí Utopia@Được chạm khắc và chế tác thủ công bởi người dân Utopia.
Block/UtopiaDreamCatcher;Text;;Utopia dream catcher@Protects all your dreams from evil.;Bùa bắt mộng Utopia@Bảo vệ mọi giấc mơ của bạn khỏi điều xấu.
Block/UtopiaHerb;Text;;Utopia herbs@Herbs for your kitchen.;Thảo mộc Utopia@Thảo mộc cho gian bếp của bạn.
Block/UtopiaLightBottle;Text;;Utopia light bottle@A decorative light bottle from Utopia.;Chai đèn Utopia@Một chai đèn trang trí từ Utopia.
Block/UtopiaPlant;Text;;Utopia plant@A decorative plant from Utopia.;Cây cảnh Utopia@Một cây cảnh trang trí từ Utopia.
Block/Wall_Slope_Thatch;Text;;Triangular thatch wall@Fills triangular holes.;Tường rơm tam giác@Lấp lỗ hổng tam giác.
Block/Wall_Slope_Tier3;Text;;Triangular solid wooden wall@Fills triangular holes.;Tường gỗ chắc chắn tam giác@Lấp lỗ hổng tam giác.
Block/Wall_Slope_Wood;Text;;Triangular wooden wall@Fills triangular holes.;Tường gỗ tam giác@Lấp lỗ hổng tam giác.
Block/Wall_Thatch;Text;;Thatch wall@Provides support for additional floors.;Tường rơm@Hỗ trợ xây thêm tầng.
Block/Wall_Tier3;Text;;Solid wooden wall@Provides support for additional floors.;Tường gỗ chắc chắn@Hỗ trợ xây thêm tầng.
Block/Wall_VSlope_Thatch;Text;;Pyramid thatch wall@Fills pyramid holes.;Tường rơm hình chóp@Lấp lỗ hổng hình chóp.
Block/Wall_VSlope_Tier3;Text;;Pyramid solid wooden wall@Fills pyramid holes.;Tường gỗ chắc chắn hình chóp@Lấp lỗ hổng hình chóp.
Block/Wall_VSlope_Wood;Text;;Pyramid wooden wall@Fills pyramid holes.;Tường gỗ hình chóp@Lấp lỗ hổng hình chóp.
Block/Wall_Wood;Text;;Wooden wall@Provides support for additional floors.;Tường gỗ@Hỗ trợ xây thêm tầng.
Block/Wardrobe;Text;;Wardrobe@Lets you change the colour of your clothes.;Tủ quần áo@Cho phép bạn đổi màu quần áo.
Block/WaterTank;Text;;Water tank@Can be connected with waterpipes!;Bồn nước@Có thể kết nối với ống dẫn nước!
Block/WavingCat;Text;;Lucky cat@Might bring you some happiness.;Mèo may mắn@Có thể mang lại chút hạnh phúc cho bạn.
Block/WindTurbine;Text;;Wind turbine@Charges batteries with wind power.;Tua bin gió@Sạc pin bằng sức gió.
Block/Window_Thatch;Text;;Thatch window@Provides support for additional floors.;Cửa sổ rơm@Hỗ trợ xây thêm tầng.
Block/Window_Thatch_Half;Text;;Half thatch window@Provides support for additional floors.;Nửa cửa sổ rơm@Hỗ trợ xây thêm tầng.
Block/Window_Tier3;Text;;Solid wooden window@Provides support for additional floors.;Cửa sổ gỗ chắc chắn@Hỗ trợ xây thêm tầng.
Block/Window_Tier3_Half;Text;;Solid half wooden window@Provides support for additional floors.;Nửa cửa sổ gỗ chắc chắn@Hỗ trợ xây thêm tầng.
Block/Window_Wood;Text;;Wooden window@Provides support for additional floors.;Cửa sổ gỗ@Hỗ trợ xây thêm tầng.
Block/Window_Wood_Half;Text;;Half wooden window@Provides support for additional floors.;Nửa cửa sổ gỗ@Hỗ trợ xây thêm tầng.
Block/WineGoblet;Text;;Wine goblet@Suits kings and queens!;Ly rượu vang@Hợp với vua chúa!
Block/WorldGlobe;Text;;World globe@A very non flat object.;Quả địa cầu@Một vật thể không hề phẳng.
Block/ZiplineBase;Text;;Zipline@Place rope between these to ride the zipline.;Zipline@Đặt dây thừng giữa các cột này để đu zipline.
Character/Female;Text;;Female;Nữ
Character/Male;Text;;Male;Nam
Character/Name;Text;;Character name;Tên nhân vật
Character/Outfit;Text;;Outfit;Trang phục
Character/Title;Text;;Character;Nhân vật
Controls/Action 1;Text;;Action 1;Hành động 1
Controls/Action 2;Text;;Action 2;Hành động 2
Controls/AltKey;Text;;Alt.Key;Phím Alt
Controls/AutoRun;Text;;Auto run;Tự động chạy
Controls/BlockPick;Text;;Block pick;Chọn khối
Controls/Cancel;Text;;Cancel;Hủy
Controls/Chat;Text;;Open chat;Mở khung chat
Controls/ChatNextMessage;Text;;Next message;Tin nhắn tiếp theo
Controls/ChatPreviousMessage;Text;;Previous message;Tin nhắn trước
Controls/ColorPick;Text;;Color pick;Chọn màu
Controls/Crouch;Text;;Crouch;Ngồi thấp
Controls/CursorSensitivity;Text;;Cursor Sensitivity;Độ nhạy con trỏ
Controls/DropItem;Text;;Drop item;Thả vật phẩm
Controls/GameInfo;Text;;GameInfo;Thông tin trò chơi
Controls/Hotbar;Text;;Hotbar;Thanh vật phẩm nhanh
Controls/Interact;Text;;Interact;Tương tác
Controls/Inventory;Text;;Inventory;Túi đồ
Controls/Invert Look Up/Down;Text;;Invert Look Up/Down;Đảo hướng nhìn lên/xuống
Controls/InvertLookUpDown;Text;;Invert Look Up/Down;Đảo hướng nhìn lên/xuống
Controls/InvertMouseY;Text;;Invert mouse up/down;Đảo chuột lên/xuống
Controls/Jump;Text;;Jump;Nhảy
Controls/Key;Text;;Key;Phím
Controls/Keybinds;Text;;Keybinds;Gán phím
Controls/LookSensitivity;Text;;Look Sensitivity;Độ nhạy góc nhìn
Controls/Mirror;Text;;Mirror;Lật gương
Controls/MouseSensitivity;Text;;Mouse Sensitivity;Độ nhạy chuột
Controls/PaintOneSide;Text;;Paint one side;Sơn một mặt
Controls/ResetKeybinds;Text;;Reset Keybinds;Đặt lại phím
Controls/Rotate;Text;;Rotate;Xoay
Controls/SortStorage;Text;;Sort items into storage;Sắp xếp vào kho
Controls/Sprint;Text;;Sprint;Chạy nhanh
Controls/StopNotebookVoice;Text;;Stop playing note;Dừng phát ghi âm
Controls/StrafeLeft;Text;;Strafe left;Di chuyển trái
Controls/StrafeRight;Text;;Strafe right;Di chuyển phải
Controls/SwimDown;Text;;Swim down;Bơi xuống
Controls/ToggleCrouch;Text;;Toggle Crouch;Bật/tắt ngồi thấp
Controls/ToggleNoClip;Text;;Toggle noclip;Bật/tắt xuyên vật thể
Controls/ToggleNotebook;Text;;Hide/Show notebook;Ẩn/hiện sổ tay
Controls/TogglePaintSide;Text;;Toggle single sided painting;Bật/tắt sơn một mặt
Controls/ToggleRun;Text;;Toggle sprint;Bật/tắt chạy nhanh
Controls/ToggleThirdPerson;Text;;Toggle third person mode;Bật/tắt góc nhìn thứ ba
Controls/ToggleUI;Text;;Hide/Show UI;Ẩn/hiện giao diện
Controls/Vibration;Text;;Vibration;Rung
Controls/WalkBackward;Text;;Walk backward;Đi lùi
Controls/WalkForward;Text;;Walk forward;Đi tới
Crafting/Decorations;Text;;Decorations;Trang trí
Crafting/Equipment;Text;;Equipment;Trang bị
Crafting/FoodWater;Text;;Food/Water;Thực phẩm/Nước
Crafting/Navigation;Text;;Navigation;Điều hướng
Crafting/Other;Text;;Other;Khác
Crafting/Resources;Text;;Resources;Tài nguyên
Crafting/Tools;Text;;Tools;Công cụ
Crafting/Weapons;Text;;Weapons;Vũ khí
CraftingSub/Anchors;Text;;Anchors;Neo
CraftingSub/Arrows;Text;;Projectiles;Vật phóng
CraftingSub/Axes;Text;;Axes;Rìu
CraftingSub/Backpacks;Text;;Backpacks;Balo
CraftingSub/Batteries;Text;;Batteries;Pin
CraftingSub/BatteryCharger;Text;;Batter chargers;Bộ sạc pin
CraftingSub/Beds;Text;;Beds;Giường
CraftingSub/BiofuelRefiners;Text;;Biofuel refiners;Máy lọc nhiên liệu sinh học
CraftingSub/Bookpiles;Text;;Bookpiles;Chồng sách
CraftingSub/Bottles;Text;;Bottles;Chai lọ
CraftingSub/BowCategory;Text;;Bow and Arrow;Cung và tên
CraftingSub/Candlesticks;Text;;Candlesticks;Chân nến
CraftingSub/Clocks;Text;;Clocks;Đồng hồ
CraftingSub/Containers;Text;;Containers;Hộp đựng
CraftingSub/CookingTable;Text;;Cooking tables;Bàn nấu ăn
CraftingSub/Cropplots;Text;;Cropplots;Luống trồng cây
CraftingSub/Cropplots2;Text;;Cropplots;Luống trồng cây
CraftingSub/Cupboards;Text;;Cupboards;Tủ đựng đồ
CraftingSub/Curtains;Text;;Curtains;Rèm cửa
CraftingSub/DevPainting;Text;;Developer paintings;Tranh nhà phát triển
CraftingSub/Figurines;Text;;Animals;Tượng động vật
CraftingSub/FishingRod;Text;;Fishing rods;Cần câu cá
CraftingSub/Flowers;Text;;Flowers;Hoa
CraftingSub/Grills;Text;;Grills;Lò nướng
CraftingSub/Hats;Text;;Hats;Mũ
CraftingSub/HeadLights;Text;;Head lights;Đèn đội đầu
CraftingSub/Heads;Text;;Heads;Đầu
CraftingSub/Healing;Text;;Healing;Hồi phục
CraftingSub/Hooks;Text;;Hooks;Móc câu
CraftingSub/ItemNets;Text;;Collection nets;Lưới thu gom
CraftingSub/Lanterns;Text;;Lanterns;Đèn lồng
CraftingSub/LeatherArmor;Text;;Leather armor;Giáp da
CraftingSub/Lights;Text;;Lights;Đèn
CraftingSub/Music;Text;;Music;Âm nhạc
CraftingSub/NetGunCategory;Text;;Net launcher;Súng bắn lưới
CraftingSub/Painting;Text;;Painting;Tranh vẽ
CraftingSub/Paintings;Text;;Paintings;Tranh vẽ
CraftingSub/Pipes;Text;;Pipes;Ống dẫn
CraftingSub/Purifiers;Text;;Purifiers;Máy lọc nước
CraftingSub/RedbeetPaintings;Text;;Redbeet paintings;Tranh Redbeet
CraftingSub/Rugs;Text;;Rugs;Thảm
CraftingSub/Scarecrows;Text;;Scarecrows;Bù nhìn
CraftingSub/Seating;Text;;Seating;Chỗ ngồi
CraftingSub/Seed_Flower;Text;;Flower seeds;Hạt giống hoa
CraftingSub/Seeds;Text;;Seeds;Hạt giống
CraftingSub/Seeds_Tree;Text;;Tree seeds;Hạt giống cây
CraftingSub/Shelves;Text;;Shelves;Kệ
CraftingSub/Shovels;Text;;Shovels;Xẻng
CraftingSub/Smelters;Text;;Smelters;Lò nung
CraftingSub/Spears;Text;;Spears;Giáo
CraftingSub/Storages;Text;;Storages;Kho chứa
CraftingSub/Tables;Text;;Tables;Bàn
CraftingSub/Tableware;Text;;Tableware;Đồ dùng bàn ăn
CraftingSub/TangaroaPaintings;Text;;Tangaroa paintings;Tranh Tangaroa
CraftingSub/TangaroaPlants;Text;;Tangaroa plants;Cây cảnh Tangaroa
CraftingSub/Tanks;Text;;Tanks;Bồn chứa
CraftingSub/Temperance;Text;;Temperance;Temperance
CraftingSub/Tiki;Text;;Tiki pieces;Vật phẩm Tiki
CraftingSub/Toys;Text;;Toys;Đồ chơi
CraftingSub/Trader;Text;;Trading post;Trạm giao thương
CraftingSub/TrophyBoards;Text;;Trophy boards;Bảng treo chiến lợi phẩm
CraftingSub/Utopia;Text;;Utopia;Utopia
CraftingSub/Weapons;Text;;Weapons;Vũ khí
CraftingSub/ZiplineTools;Text;;Zipline tools;Dụng cụ zipline
DeathMenu/FindBed;Text;;Find a bed;Tìm giường
DeathMenu/Incapacitated;Text;;Incapacitated;Đã kiệt sức
DeathMenu/InventoryLoss;Text;;Lose 2/3 of inventory;Mất 2/3 túi đồ
DeathMenu/Rescue;Text;;Waiting for rescue;Đang chờ cứu
DeathMenu/Respawn;Text;;Surrender and respawn;Đầu hàng và hồi sinh
Difficulty;Text;;Game mode;Chế độ chơi
Difficulty/Creative;Text;;Creative;Sáng tạo
Difficulty/Creative_Description;Text;;Unlimited supplies and health, allowing you to focus less on survival and more on building.;Vật tư và máu vô hạn, giúp bạn tập trung vào xây dựng hơn là sinh tồn.
Difficulty/Easy;Text;;Easy;Dễ
Difficulty/Easy_Description;Text;;Easier to maintain hunger and thirst. Inventory is not lost when respawning.;Dễ duy trì đói và khát hơn. Không mất túi đồ khi hồi sinh.
Difficulty/Hardcore;Text;;Hard;Khó
Difficulty/Hardcore_Description;Text;;You cannot respawn without the help of a friend.;Bạn không thể hồi sinh nếu không có sự trợ giúp của bạn bè.
Difficulty/Normal;Text;;Normal;Bình thường
Difficulty/Normal_Description;Text;;Average difficulty for the average player.;Độ khó trung bình dành cho người chơi thông thường.
Difficulty/Peaceful;Text;;Peaceful;Yên bình
Difficulty/Peaceful_Description;Text;;A more relaxed version of Raft where enemies are no threat.;Phiên bản thư giãn hơn của Raft, nơi kẻ địch không gây nguy hiểm.
Fonts/CalibriTMP;TextMeshPFont;;calibrib SDF;calibrib SDF
Fonts/Calibrib;Font;;calibrib;calibrib
Fonts/ChineseRocks;Font;;ChineseRocks;ChineseRocks
Fonts/Dialog;TextMeshPFont;;calibrib SDF 2;calibrib SDF 2
Fonts/monorama-medium;TextMeshPFont;;monorama-medium SDF;monorama-medium SDF
Fonts/tt_marks_rough_bold;TextMeshPFont;;tt_marks_rough_bold SDF;tt_marks_rough_bold SDF
Game/;Text;;;""""
Game/Add;Text;;Add;Thêm
Game/Balboa/RelayStationsActive;Text;;{[ItemX]} relay stations active;{[ItemX]} trạm tiếp sóng đang hoạt động
Game/BuildMenu;Text;;Hold for more parts;Giữ để xem thêm bộ phận
Game/Buy;Text;;Buy;Mua
Game/Cable/StartDragging;Text;;Start dragging cable;Bắt đầu kéo dây cáp
Game/Cable/StopDragging;Text;;Stop dragging cable;Dừng kéo dây cáp
Game/CanBeResearched;Text;;Cant be researched;Không thể nghiên cứu
Game/CantBeResearched;Text;;Cant be researched;Không thể nghiên cứu
Game/CantSleepDay;Text;;Can't fall asleep during daytime;Không thể ngủ vào ban ngày
Game/CantSleepPlayers;Text;;All players must be sleeping;Tất cả người chơi phải đang ngủ
Game/Carry;Text;;Carry {[IncapacitatedPlayer]};Vác {[IncapacitatedPlayer]}
Game/CarryAnimal;Text;;Carry;Bế
Game/ClawMachine/PlayerInArea;Text;;"Error
Evacuate personnel from the crane area";"Lỗi
Hãy sơ tán khỏi khu vực cần cẩu"
Game/ClawMachine/Ready;Text;;System is operational;Hệ thống đang hoạt động
Game/Close;Text;;Close;Đóng
Game/CollectItemCount;Text;;Collect {[ItemCount]} items;Thu thập {[ItemCount]} vật phẩm
Game/ColorMenu;Text;;Hold for more colors;Giữ để xem thêm màu
Game/ColorMenu/MoreColors;Text;;Hold for more colors;Giữ để xem thêm màu
Game/ColorMenu/PaintOneSide;Text;;Toggle single sided painting;Bật/tắt sơn một mặt
Game/ControlledViaEngineControls;Text;;Controlled by engine controls;Được điều khiển bởi bảng điều khiển động cơ
Game/CookingToBig;Text;;This does not fit here;Không vừa ở đây
Game/CoolingChallenge/Error;Text;;Control rods stuck, manual insertion required!;Thanh điều khiển bị kẹt, cần chèn thủ công!
Game/CoolingChallenge/InsertRods;Text;;Insert control rods;Chèn thanh điều khiển
Game/CoolingChallenge/Success;Text;;Cooling process initiated;Quá trình làm mát đã bắt đầu
Game/CoolingChallenge/ValvesShut;Text;;Control rods in place. Cooling process is ready!;Thanh điều khiển đã vào vị trí. Sẵn sàng làm mát!
Game/Craft;Text;;Craft;Chế tạo
Game/CraftX;Text;;Craft {[ItemX]};Chế tạo {[ItemX]}
Game/Cupboard;Text;;Cupboard;Tủ đựng đồ
Game/DaysSurvived;Text;;Days survived;Số ngày sống sót
Game/DoorLockedOneWay;Text;;Door is locked from the other side;Cửa bị khóa từ phía bên kia
Game/DoorLockedOneWay2;Text;;Door is locked from inside;Cửa bị khóa từ bên trong
